Classifier,Neighbors,Metric,BatchSize,TotalTime,Accuracy,ConfusionMatrix
KNN,3,minkowski,15000,2.43,93.74,"[[5470, 3, 2, 16, 6, 2, 25, 2, 32, 2], [0, 6093, 174, 118, 53, 5, 46, 69, 40, 57], [11, 13, 5614, 147, 3, 3, 15, 56, 24, 2], [4, 4, 23, 5629, 2, 58, 2, 57, 22, 18], [12, 10, 19, 4, 5299, 2, 130, 26, 18, 202], [9, 5, 9, 416, 7, 4898, 44, 15, 86, 50], [34, 9, 3, 4, 5, 43, 5705, 0, 55, 0], [1, 19, 44, 118, 56, 1, 1, 5757, 7, 93], [41, 30, 38, 132, 36, 37, 52, 29, 5135, 165], [11, 9, 19, 103, 107, 6, 8, 139, 35, 5376]]"
KNN,5,euclidean,15000,4.51,93.53,"[[5462, 4, 1, 18, 5, 2, 34, 3, 31, 0], [0, 6067, 179, 115, 54, 6, 48, 68, 49, 69], [12, 12, 5590, 173, 2, 2, 15, 58, 22, 2], [4, 3, 24, 5643, 0, 51, 2, 60, 17, 15], [10, 9, 18, 2, 5313, 0, 135, 23, 11, 201], [8, 3, 6, 495, 9, 4821, 50, 17, 84, 46], [34, 10, 3, 0, 8, 49, 5707, 0, 47, 0], [1, 23, 45, 119, 68, 1, 0, 5745, 9, 86], [37, 30, 44, 117, 37, 43, 59, 31, 5136, 161], [15, 8, 15, 110, 103, 7, 9, 137, 39, 5370]]"
KNN,5,minkowski,15000,2.46,93.53,"[[5462, 4, 1, 18, 5, 2, 34, 3, 31, 0], [0, 6067, 179, 115, 54, 6, 48, 68, 49, 69], [12, 12, 5590, 173, 2, 2, 15, 58, 22, 2], [4, 3, 24, 5643, 0, 51, 2, 60, 17, 15], [10, 9, 18, 2, 5313, 0, 135, 23, 11, 201], [8, 3, 6, 495, 9, 4821, 50, 17, 84, 46], [34, 10, 3, 0, 8, 49, 5707, 0, 47, 0], [1, 23, 45, 119, 68, 1, 0, 5745, 9, 86], [37, 30, 44, 117, 37, 43, 59, 31, 5136, 161], [15, 8, 15, 110, 103, 7, 9, 137, 39, 5370]]"
KNN,9,minkowski,20000,3.36,93.5,"[[5462, 2, 1, 20, 5, 2, 33, 3, 31, 1], [0, 6048, 182, 130, 60, 7, 46, 68, 44, 70], [12, 10, 5588, 174, 2, 1, 17, 59, 23, 2], [4, 3, 22, 5644, 1, 51, 2, 54, 18, 20], [12, 7, 13, 3, 5294, 0, 143, 24, 13, 213], [3, 3, 7, 555, 5, 4762, 45, 15, 90, 54], [36, 11, 3, 0, 3, 47, 5717, 0, 41, 0], [0, 21, 33, 119, 60, 1, 0, 5769, 11, 83], [33, 24, 41, 104, 29, 37, 50, 31, 5160, 186], [17, 7, 14, 110, 80, 4, 9, 142, 40, 5390]]"
KNN,9,euclidean,20000,5.33,93.5,"[[5462, 2, 1, 20, 5, 2, 33, 3, 31, 1], [0, 6048, 182, 130, 60, 7, 46, 68, 44, 70], [12, 10, 5588, 174, 2, 1, 17, 59, 23, 2], [4, 3, 22, 5644, 1, 51, 2, 54, 18, 20], [12, 7, 13, 3, 5294, 0, 143, 24, 13, 213], [3, 3, 7, 555, 5, 4762, 45, 15, 90, 54], [36, 11, 3, 0, 3, 47, 5717, 0, 41, 0], [0, 21, 33, 119, 60, 1, 0, 5769, 11, 83], [33, 24, 41, 104, 29, 37, 50, 31, 5160, 186], [17, 7, 14, 110, 80, 4, 9, 142, 40, 5390]]"
KNN,5,euclidean,10000,3.76,93.48,"[[5465, 2, 1, 20, 4, 2, 33, 3, 30, 0], [1, 6070, 182, 122, 57, 7, 44, 68, 39, 65], [14, 10, 5595, 170, 2, 1, 16, 56, 22, 2], [4, 4, 22, 5648, 1, 49, 2, 54, 17, 18], [14, 9, 13, 3, 5299, 0, 142, 23, 12, 207], [3, 3, 7, 579, 6, 4753, 46, 14, 81, 47], [36, 12, 3, 1, 4, 51, 5715, 0, 36, 0], [1, 22, 37, 125, 64, 1, 0, 5766, 8, 73], [35, 26, 44, 120, 31, 43, 50, 32, 5136, 178], [17, 13, 14, 113, 81, 3, 9, 142, 43, 5378]]"
KNN,5,minkowski,10000,1.79,93.48,"[[5465, 2, 1, 20, 4, 2, 33, 3, 30, 0], [1, 6070, 182, 122, 57, 7, 44, 68, 39, 65], [14, 10, 5595, 170, 2, 1, 16, 56, 22, 2], [4, 4, 22, 5648, 1, 49, 2, 54, 17, 18], [14, 9, 13, 3, 5299, 0, 142, 23, 12, 207], [3, 3, 7, 579, 6, 4753, 46, 14, 81, 47], [36, 12, 3, 1, 4, 51, 5715, 0, 36, 0], [1, 22, 37, 125, 64, 1, 0, 5766, 8, 73], [35, 26, 44, 120, 31, 43, 50, 32, 5136, 178], [17, 13, 14, 113, 81, 3, 9, 142, 43, 5378]]"
KNN,7,euclidean,15000,4.66,93.3,"[[5452, 2, 1, 22, 5, 2, 40, 2, 34, 0], [0, 6051, 174, 121, 52, 4, 63, 68, 55, 67], [11, 10, 5574, 197, 3, 1, 17, 55, 19, 1], [4, 4, 26, 5637, 1, 45, 2, 64, 16, 20], [9, 7, 18, 4, 5300, 0, 142, 23, 14, 205], [5, 4, 6, 552, 10, 4760, 47, 20, 85, 50], [33, 11, 3, 0, 6, 51, 5699, 0, 55, 0], [1, 21, 41, 117, 62, 2, 0, 5739, 10, 104], [34, 33, 40, 119, 33, 35, 56, 30, 5142, 173], [13, 10, 11, 125, 93, 6, 10, 146, 38, 5361]]"
KNN,7,minkowski,15000,2.43,93.3,"[[5452, 2, 1, 22, 5, 2, 40, 2, 34, 0], [0, 6051, 174, 121, 52, 4, 63, 68, 55, 67], [11, 10, 5574, 197, 3, 1, 17, 55, 19, 1], [4, 4, 26, 5637, 1, 45, 2, 64, 16, 20], [9, 7, 18, 4, 5300, 0, 142, 23, 14, 205], [5, 4, 6, 552, 10, 4760, 47, 20, 85, 50], [33, 11, 3, 0, 6, 51, 5699, 0, 55, 0], [1, 21, 41, 117, 62, 2, 0, 5739, 10, 104], [34, 33, 40, 119, 33, 35, 56, 30, 5142, 173], [13, 10, 11, 125, 93, 6, 10, 146, 38, 5361]]"
KNN,7,minkowski,10000,1.7,93.19,"[[5457, 2, 1, 20, 4, 3, 38, 4, 30, 1], [0, 6036, 171, 139, 56, 6, 52, 69, 50, 76], [11, 11, 5572, 194, 4, 2, 15, 55, 23, 1], [3, 4, 22, 5647, 2, 42, 2, 59, 19, 19], [10, 7, 16, 8, 5299, 0, 140, 27, 16, 199], [2, 3, 8, 627, 5, 4699, 45, 17, 87, 46], [33, 13, 4, 0, 2, 50, 5710, 0, 46, 0], [0, 21, 36, 126, 66, 2, 0, 5757, 7, 82], [36, 29, 43, 115, 30, 38, 58, 31, 5134, 181], [19, 15, 11, 127, 94, 4, 9, 147, 45, 5342]]"
KNN,7,euclidean,10000,3.84,93.19,"[[5457, 2, 1, 20, 4, 3, 38, 4, 30, 1], [0, 6036, 171, 139, 56, 6, 52, 69, 50, 76], [11, 11, 5572, 194, 4, 2, 15, 55, 23, 1], [3, 4, 22, 5647, 2, 42, 2, 59, 19, 19], [10, 7, 16, 8, 5299, 0, 140, 27, 16, 199], [2, 3, 8, 627, 5, 4699, 45, 17, 87, 46], [33, 13, 4, 0, 2, 50, 5710, 0, 46, 0], [0, 21, 36, 126, 66, 2, 0, 5757, 7, 82], [36, 29, 43, 115, 30, 38, 58, 31, 5134, 181], [19, 15, 11, 127, 94, 4, 9, 147, 45, 5342]]"
KNN,9,minkowski,15000,2.49,93.07,"[[5452, 2, 1, 21, 5, 2, 45, 3, 29, 0], [1, 6028, 169, 126, 56, 4, 64, 71, 62, 74], [12, 10, 5562, 198, 4, 2, 15, 57, 27, 1], [4, 5, 22, 5636, 2, 41, 2, 67, 21, 19], [9, 4, 17, 5, 5302, 0, 146, 26, 16, 197], [3, 5, 8, 603, 10, 4706, 46, 24, 83, 51], [33, 13, 3, 0, 7, 55, 5691, 0, 56, 0], [0, 20, 40, 119, 77, 2, 0, 5715, 11, 113], [38, 30, 37, 114, 35, 32, 58, 29, 5147, 175], [14, 11, 8, 132, 99, 5, 10, 147, 45, 5342]]"
KNN,9,euclidean,15000,4.7,93.07,"[[5452, 2, 1, 21, 5, 2, 45, 3, 29, 0], [1, 6028, 169, 126, 56, 4, 64, 71, 62, 74], [12, 10, 5562, 198, 4, 2, 15, 57, 27, 1], [4, 5, 22, 5636, 2, 41, 2, 67, 21, 19], [9, 4, 17, 5, 5302, 0, 146, 26, 16, 197], [3, 5, 8, 603, 10, 4706, 46, 24, 83, 51], [33, 13, 3, 0, 7, 55, 5691, 0, 56, 0], [0, 20, 40, 119, 77, 2, 0, 5715, 11, 113], [38, 30, 37, 114, 35, 32, 58, 29, 5147, 175], [14, 11, 8, 132, 99, 5, 10, 147, 45, 5342]]"
KNN,9,minkowski,10000,1.72,92.95,"[[5450, 2, 2, 19, 5, 3, 44, 3, 31, 1], [0, 6012, 156, 152, 61, 5, 62, 69, 56, 82], [12, 9, 5556, 209, 3, 3, 16, 55, 22, 3], [3, 3, 23, 5647, 3, 42, 2, 58, 20, 18], [9, 9, 19, 6, 5292, 0, 143, 24, 15, 205], [3, 7, 8, 660, 7, 4669, 43, 19, 79, 44], [32, 15, 3, 0, 4, 56, 5701, 0, 47, 0], [0, 24, 36, 125, 67, 2, 0, 5740, 9, 94], [39, 28, 48, 126, 31, 32, 54, 30, 5122, 185], [20, 17, 6, 133, 100, 3, 8, 156, 49, 5321]]"
KNN,9,euclidean,10000,3.87,92.95,"[[5450, 2, 2, 19, 5, 3, 44, 3, 31, 1], [0, 6012, 156, 152, 61, 5, 62, 69, 56, 82], [12, 9, 5556, 209, 3, 3, 16, 55, 22, 3], [3, 3, 23, 5647, 3, 42, 2, 58, 20, 18], [9, 9, 19, 6, 5292, 0, 143, 24, 15, 205], [3, 7, 8, 660, 7, 4669, 43, 19, 79, 44], [32, 15, 3, 0, 4, 56, 5701, 0, 47, 0], [0, 24, 36, 125, 67, 2, 0, 5740, 9, 94], [39, 28, 48, 126, 31, 32, 54, 30, 5122, 185], [20, 17, 6, 133, 100, 3, 8, 156, 49, 5321]]"
KNN,1,manhattan,5000,8.24,91.7,"[[5461, 5, 4, 23, 7, 1, 38, 2, 17, 2], [0, 6118, 171, 41, 36, 5, 82, 61, 69, 72], [16, 23, 5567, 121, 2, 2, 39, 100, 14, 4], [5, 11, 28, 5558, 2, 50, 2, 113, 23, 27], [27, 12, 18, 1, 5163, 0, 126, 23, 22, 330], [12, 8, 6, 413, 17, 4796, 69, 32, 87, 99], [59, 18, 1, 2, 13, 69, 5625, 0, 71, 0], [0, 21, 74, 131, 260, 2, 2, 5264, 29, 314], [173, 59, 27, 79, 59, 29, 76, 33, 4957, 203], [16, 9, 31, 129, 142, 9, 12, 151, 45, 5269]]"
KNN,3,manhattan,5000,8.3,91.54,"[[5460, 5, 0, 24, 7, 2, 48, 5, 9, 0], [0, 6116, 175, 34, 35, 4, 95, 61, 70, 65], [20, 22, 5569, 117, 4, 1, 33, 109, 10, 3], [4, 10, 26, 5584, 5, 27, 2, 122, 20, 19], [33, 15, 17, 1, 5177, 0, 129, 22, 8, 320], [13, 12, 16, 520, 28, 4720, 63, 41, 64, 62], [63, 25, 0, 0, 11, 73, 5633, 0, 53, 0], [0, 25, 72, 136, 277, 1, 0, 5284, 31, 271], [211, 66, 33, 74, 78, 20, 86, 40, 4872, 215], [17, 18, 27, 142, 139, 3, 11, 159, 30, 5267]]"
KNN,5,manhattan,5000,8.37,91.49,"[[5450, 5, 0, 28, 9, 2, 54, 4, 8, 0], [0, 6097, 169, 39, 42, 4, 104, 61, 68, 71], [19, 15, 5565, 129, 4, 1, 30, 113, 9, 3], [7, 7, 23, 5564, 4, 33, 4, 128, 21, 28], [34, 12, 15, 0, 5178, 0, 133, 18, 9, 323], [10, 11, 6, 534, 31, 4718, 64, 40, 61, 64], [66, 25, 0, 0, 16, 69, 5633, 0, 49, 0], [0, 23, 57, 110, 285, 2, 0, 5353, 37, 230], [234, 55, 33, 61, 77, 17, 101, 41, 4850, 226], [19, 18, 9, 154, 159, 2, 10, 162, 32, 5248]]"
KNN,7,manhattan,5000,8.26,91.23,"[[5427, 4, 1, 27, 13, 3, 67, 9, 7, 2], [0, 6055, 171, 34, 43, 3, 125, 60, 72, 92], [18, 17, 5539, 138, 3, 1, 34, 124, 11, 3], [6, 6, 23, 5548, 4, 31, 4, 145, 23, 29], [35, 11, 16, 0, 5187, 0, 130, 17, 7, 319], [10, 10, 4, 550, 35, 4702, 65, 39, 60, 64], [62, 29, 0, 0, 16, 75, 5625, 0, 51, 0], [0, 21, 52, 107, 264, 2, 0, 5377, 35, 239], [253, 58, 30, 61, 78, 18, 111, 41, 4798, 247], [22, 21, 5, 155, 165, 3, 9, 157, 32, 5244]]"
KNN,9,manhattan,5000,8.54,91.03,"[[5408, 4, 1, 33, 13, 2, 76, 11, 10, 2], [1, 6044, 169, 36, 44, 5, 123, 60, 75, 98], [17, 15, 5529, 129, 3, 1, 37, 141, 12, 4], [6, 5, 19, 5542, 4, 26, 4, 157, 21, 35], [35, 11, 13, 0, 5195, 0, 128, 16, 7, 317], [11, 10, 5, 569, 36, 4682, 65, 46, 51, 64], [62, 24, 0, 0, 18, 87, 5609, 0, 58, 0], [0, 24, 46, 106, 253, 2, 0, 5366, 33, 267], [262, 59, 32, 50, 83, 22, 113, 40, 4763, 271], [21, 21, 7, 150, 165, 3, 9, 159, 29, 5249]]"
KNN,1,euclidean,5000,2.92,90.24,"[[5431, 5, 4, 26, 9, 2, 52, 3, 27, 1], [1, 5843, 175, 99, 42, 8, 128, 79, 170, 110], [11, 16, 5465, 266, 4, 8, 27, 60, 29, 2], [4, 8, 27, 5536, 5, 77, 5, 100, 24, 33], [10, 6, 38, 1, 5194, 0, 159, 31, 21, 262], [10, 6, 5, 401, 22, 4701, 64, 31, 192, 107], [45, 12, 2, 3, 13, 83, 5598, 0, 102, 0], [1, 15, 57, 172, 173, 7, 3, 5033, 45, 591], [123, 49, 41, 139, 49, 56, 88, 29, 4939, 182], [8, 9, 14, 186, 153, 28, 8, 177, 46, 5184]]"
KNN,1,minkowski,5000,0.87,90.24,"[[5431, 5, 4, 26, 9, 2, 52, 3, 27, 1], [1, 5843, 175, 99, 42, 8, 128, 79, 170, 110], [11, 16, 5465, 266, 4, 8, 27, 60, 29, 2], [4, 8, 27, 5536, 5, 77, 5, 100, 24, 33], [10, 6, 38, 1, 5194, 0, 159, 31, 21, 262], [10, 6, 5, 401, 22, 4701, 64, 31, 192, 107], [45, 12, 2, 3, 13, 83, 5598, 0, 102, 0], [1, 15, 57, 172, 173, 7, 3, 5033, 45, 591], [123, 49, 41, 139, 49, 56, 88, 29, 4939, 182], [8, 9, 14, 186, 153, 28, 8, 177, 46, 5184]]"
KNN,3,minkowski,5000,0.99,89.77,"[[5423, 5, 0, 30, 9, 2, 65, 2, 24, 0], [5, 5751, 188, 123, 43, 7, 184, 72, 184, 98], [18, 16, 5427, 306, 4, 2, 26, 62, 24, 3], [6, 7, 23, 5564, 8, 43, 4, 112, 20, 32], [14, 11, 37, 3, 5217, 0, 152, 21, 14, 253], [10, 10, 9, 619, 46, 4538, 59, 41, 128, 79], [41, 17, 3, 1, 16, 94, 5600, 0, 86, 0], [1, 23, 59, 172, 182, 1, 1, 5065, 46, 547], [152, 60, 49, 157, 72, 26, 87, 42, 4871, 179], [12, 15, 14, 214, 145, 2, 8, 180, 30, 5193]]"
KNN,3,euclidean,5000,3.06,89.77,"[[5423, 5, 0, 30, 9, 2, 65, 2, 24, 0], [5, 5751, 188, 123, 43, 7, 184, 72, 184, 98], [18, 16, 5427, 306, 4, 2, 26, 62, 24, 3], [6, 7, 23, 5564, 8, 43, 4, 112, 20, 32], [14, 11, 37, 3, 5217, 0, 152, 21, 14, 253], [10, 10, 9, 619, 46, 4538, 59, 41, 128, 79], [41, 17, 3, 1, 16, 94, 5600, 0, 86, 0], [1, 23, 59, 172, 182, 1, 1, 5065, 46, 547], [152, 60, 49, 157, 72, 26, 87, 42, 4871, 179], [12, 15, 14, 214, 145, 2, 8, 180, 30, 5193]]"
KNN,5,minkowski,5000,0.89,89.39,"[[5402, 4, 3, 38, 14, 2, 72, 5, 20, 0], [10, 5595, 196, 145, 49, 8, 229, 83, 220, 120], [13, 10, 5385, 336, 4, 3, 41, 72, 21, 3], [4, 4, 24, 5543, 7, 46, 6, 128, 21, 36], [13, 6, 34, 2, 5231, 0, 153, 22, 15, 246], [8, 6, 5, 644, 39, 4519, 59, 49, 123, 87], [36, 15, 2, 1, 15, 93, 5615, 0, 81, 0], [0, 21, 56, 143, 181, 2, 1, 5115, 61, 517], [172, 38, 44, 170, 63, 18, 109, 37, 4849, 195], [14, 15, 9, 210, 158, 3, 8, 195, 30, 5171]]"
KNN,5,euclidean,5000,3.09,89.39,"[[5402, 4, 3, 38, 14, 2, 72, 5, 20, 0], [10, 5595, 196, 145, 49, 8, 229, 83, 220, 120], [13, 10, 5385, 336, 4, 3, 41, 72, 21, 3], [4, 4, 24, 5543, 7, 46, 6, 128, 21, 36], [13, 6, 34, 2, 5231, 0, 153, 22, 15, 246], [8, 6, 5, 644, 39, 4519, 59, 49, 123, 87], [36, 15, 2, 1, 15, 93, 5615, 0, 81, 0], [0, 21, 56, 143, 181, 2, 1, 5115, 61, 517], [172, 38, 44, 170, 63, 18, 109, 37, 4849, 195], [14, 15, 9, 210, 158, 3, 8, 195, 30, 5171]]"
KNN,7,euclidean,5000,3.01,88.88,"[[5368, 4, 2, 46, 15, 3, 89, 3, 29, 1], [9, 5475, 198, 170, 50, 7, 275, 81, 244, 146], [14, 10, 5341, 374, 5, 2, 34, 81, 24, 3], [3, 4, 22, 5532, 8, 41, 4, 137, 25, 43], [15, 6, 32, 2, 5234, 0, 156, 25, 13, 239], [7, 6, 5, 648, 47, 4506, 65, 50, 113, 92], [39, 17, 2, 0, 16, 96, 5603, 0, 85, 0], [0, 21, 51, 132, 179, 2, 1, 5121, 59, 531], [190, 37, 46, 169, 70, 26, 107, 39, 4789, 222], [16, 17, 8, 210, 168, 3, 8, 198, 27, 5158]]"
KNN,7,minkowski,5000,0.87,88.88,"[[5368, 4, 2, 46, 15, 3, 89, 3, 29, 1], [9, 5475, 198, 170, 50, 7, 275, 81, 244, 146], [14, 10, 5341, 374, 5, 2, 34, 81, 24, 3], [3, 4, 22, 5532, 8, 41, 4, 137, 25, 43], [15, 6, 32, 2, 5234, 0, 156, 25, 13, 239], [7, 6, 5, 648, 47, 4506, 65, 50, 113, 92], [39, 17, 2, 0, 16, 96, 5603, 0, 85, 0], [0, 21, 51, 132, 179, 2, 1, 5121, 59, 531], [190, 37, 46, 169, 70, 26, 107, 39, 4789, 222], [16, 17, 8, 210, 168, 3, 8, 198, 27, 5158]]"
KNN,9,minkowski,5000,0.91,88.45,"[[5327, 4, 3, 53, 21, 4, 110, 4, 31, 3], [11, 5389, 203, 167, 57, 6, 328, 75, 268, 151], [11, 10, 5312, 399, 5, 3, 36, 85, 23, 4], [3, 3, 23, 5506, 8, 39, 5, 158, 28, 46], [14, 5, 32, 2, 5244, 0, 157, 22, 10, 236], [9, 6, 8, 672, 55, 4482, 66, 54, 100, 87], [36, 19, 2, 0, 17, 111, 5598, 0, 75, 0], [0, 23, 40, 134, 186, 2, 2, 5120, 57, 533], [202, 32, 45, 169, 65, 27, 114, 42, 4750, 249], [19, 17, 8, 208, 176, 2, 7, 202, 31, 5143]]"
KNN,9,euclidean,5000,3.01,88.45,"[[5327, 4, 3, 53, 21, 4, 110, 4, 31, 3], [11, 5389, 203, 167, 57, 6, 328, 75, 268, 151], [11, 10, 5312, 399, 5, 3, 36, 85, 23, 4], [3, 3, 23, 5506, 8, 39, 5, 158, 28, 46], [14, 5, 32, 2, 5244, 0, 157, 22, 10, 236], [9, 6, 8, 672, 55, 4482, 66, 54, 100, 87], [36, 19, 2, 0, 17, 111, 5598, 0, 75, 0], [0, 23, 40, 134, 186, 2, 2, 5120, 57, 533], [202, 32, 45, 169, 65, 27, 114, 42, 4750, 249], [19, 17, 8, 208, 176, 2, 7, 202, 31, 5143]]"
